time_s,buck_output_V,load_voltage_V,current_A,load_power_W,shunt_voltage_mV,temp_C,voltage_drop_V,calculated_load_power_W,implied_load_resistance_ohm,implied_shunt_resistance_ohm,power_residual_W
75,6.002000,5.928000,0.741000,4.392000,74.100000,37.300000,0.074000,4.392648,8.000000,0.100000,-0.000648
80,6.001000,5.927000,0.740900,4.392000,74.090000,38.000000,0.074000,4.391314,7.999730,0.100000,0.000686
85,6.001000,5.927000,0.740900,4.391000,74.090000,38.700000,0.074000,4.391314,7.999730,0.100000,-0.000314
90,6.001000,5.927000,0.740900,4.391000,74.090000,39.300000,0.074000,4.391314,7.999730,0.100000,-0.000314
95,6.001000,5.927000,0.740800,4.391000,74.080000,40.000000,0.074000,4.390722,8.000810,0.100000,0.000278
100,6.000000,5.926000,0.740800,4.390000,74.080000,40.600000,0.074000,4.389981,7.999460,0.100000,0.000019
105,6.000000,5.926000,0.740700,4.390000,74.070000,41.200000,0.074000,4.389388,8.000540,0.100000,0.000612
110,6.000000,5.926000,0.740700,4.389000,74.070000,41.800000,0.074000,4.389388,8.000540,0.100000,-0.000388
115,5.999000,5.925000,0.740700,4.389000,74.070000,42.300000,0.074000,4.388648,7.999190,0.100000,0.000352
120,5.999000,5.925000,0.740600,4.388000,74.060000,42.900000,0.074000,4.388055,8.000270,0.100000,-0.000055
125,5.999000,5.925000,0.740600,4.388000,74.060000,43.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
130,5.998000,5.924000,0.740500,4.387000,74.050000,43.900000,0.074000,4.386722,8.000000,0.100000,0.000278
135,5.998000,5.924000,0.740500,4.387000,74.050000,44.400000,0.074000,4.386722,8.000000,0.100000,0.000278
140,5.998000,5.924000,0.740400,4.386000,74.040000,44.900000,0.074000,4.386130,8.001080,0.100000,-0.000130
145,5.997000,5.923000,0.740400,4.386000,74.040000,45.300000,0.074000,4.385389,7.999730,0.100000,0.000611
150,5.997000,5.923000,0.740400,4.385000,74.040000,45.800000,0.074000,4.385389,7.999730,0.100000,-0.000389
155,5.997000,5.923000,0.740400,4.385000,74.040000,46.200000,0.074000,4.385389,7.999730,0.100000,-0.000389
160,5.997000,5.923000,0.740300,4.385000,74.030000,46.700000,0.074000,4.384797,8.000810,0.100000,0.000203
165,5.997000,5.923000,0.740300,4.385000,74.030000,47.100000,0.074000,4.384797,8.000810,0.100000,0.000203
170,5.997000,5.923000,0.740300,4.385000,74.030000,47.500000,0.074000,4.384797,8.000810,0.100000,0.000203
175,5.997000,5.922000,0.740300,4.384000,74.030000,47.900000,0.075000,4.384057,7.999460,0.100000,-0.000057
180,5.997000,5.923000,0.740300,4.385000,74.030000,48.200000,0.074000,4.384797,8.000810,0.100000,0.000203
185,5.997000,5.923000,0.740300,4.385000,74.030000,48.600000,0.074000,4.384797,8.000810,0.100000,0.000203
190,5.997000,5.923000,0.740300,4.385000,74.030000,49.000000,0.074000,4.384797,8.000810,0.100000,0.000203
195,5.997000,5.923000,0.740400,4.385000,74.040000,49.300000,0.074000,4.385389,7.999730,0.100000,-0.000389
200,5.997000,5.923000,0.740400,4.385000,74.040000,49.600000,0.074000,4.385389,7.999730,0.100000,-0.000389
205,5.997000,5.923000,0.740400,4.386000,74.040000,50.000000,0.074000,4.385389,7.999730,0.100000,0.000611
210,5.997000,5.923000,0.740400,4.386000,74.040000,50.300000,0.074000,4.385389,7.999730,0.100000,0.000611
215,5.998000,5.924000,0.740500,4.386000,74.050000,50.600000,0.074000,4.386722,8.000000,0.100000,-0.000722
220,5.998000,5.924000,0.740500,4.387000,74.050000,50.900000,0.074000,4.386722,8.000000,0.100000,0.000278
225,5.998000,5.924000,0.740500,4.387000,74.050000,51.200000,0.074000,4.386722,8.000000,0.100000,0.000278
230,5.999000,5.925000,0.740600,4.388000,74.060000,51.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
235,5.999000,5.925000,0.740600,4.388000,74.060000,51.700000,0.074000,4.388055,8.000270,0.100000,-0.000055
240,5.999000,5.925000,0.740700,4.389000,74.070000,52.000000,0.074000,4.388648,7.999190,0.100000,0.000352
245,6.000000,5.926000,0.740700,4.389000,74.070000,52.200000,0.074000,4.389388,8.000540,0.100000,-0.000388
250,6.000000,5.926000,0.740700,4.390000,74.070000,52.500000,0.074000,4.389388,8.000540,0.100000,0.000612
255,6.000000,5.926000,0.740800,4.390000,74.080000,52.700000,0.074000,4.389981,7.999460,0.100000,0.000019
260,6.001000,5.926000,0.740800,4.390000,74.080000,52.900000,0.075000,4.389981,7.999460,0.100000,0.000019
265,6.001000,5.927000,0.740800,4.391000,74.080000,53.200000,0.074000,4.390722,8.000810,0.100000,0.000278
270,6.001000,5.927000,0.740900,4.391000,74.090000,53.400000,0.074000,4.391314,7.999730,0.100000,-0.000314
275,6.001000,5.927000,0.740900,4.391000,74.090000,53.600000,0.074000,4.391314,7.999730,0.100000,-0.000314
280,6.001000,5.927000,0.740900,4.391000,74.090000,53.800000,0.074000,4.391314,7.999730,0.100000,-0.000314
285,6.001000,5.927000,0.740900,4.391000,74.090000,54.000000,0.074000,4.391314,7.999730,0.100000,-0.000314
290,6.001000,5.927000,0.740900,4.391000,74.090000,54.200000,0.074000,4.391314,7.999730,0.100000,-0.000314
295,6.001000,5.927000,0.740900,4.391000,74.090000,54.400000,0.074000,4.391314,7.999730,0.100000,-0.000314
300,6.001000,5.927000,0.740900,4.391000,74.090000,54.600000,0.074000,4.391314,7.999730,0.100000,-0.000314
305,6.001000,5.927000,0.740900,4.391000,74.090000,54.800000,0.074000,4.391314,7.999730,0.100000,-0.000314
310,6.001000,5.927000,0.740900,4.391000,74.090000,54.900000,0.074000,4.391314,7.999730,0.100000,-0.000314
315,6.001000,5.927000,0.740800,4.391000,74.080000,55.100000,0.074000,4.390722,8.000810,0.100000,0.000278
320,6.000000,5.926000,0.740800,4.390000,74.080000,55.300000,0.074000,4.389981,7.999460,0.100000,0.000019
325,6.000000,5.926000,0.740800,4.390000,74.080000,55.400000,0.074000,4.389981,7.999460,0.100000,0.000019
330,6.000000,5.926000,0.740700,4.389000,74.070000,55.600000,0.074000,4.389388,8.000540,0.100000,-0.000388
335,6.000000,5.926000,0.740700,4.389000,74.070000,55.700000,0.074000,4.389388,8.000540,0.100000,-0.000388
340,5.999000,5.925000,0.740700,4.389000,74.070000,55.900000,0.074000,4.388648,7.999190,0.100000,0.000352
345,5.999000,5.925000,0.740600,4.388000,74.060000,56.000000,0.074000,4.388055,8.000270,0.100000,-0.000055
350,5.999000,5.925000,0.740600,4.388000,74.060000,56.100000,0.074000,4.388055,8.000270,0.100000,-0.000055
355,5.998000,5.924000,0.740500,4.387000,74.050000,56.300000,0.074000,4.386722,8.000000,0.100000,0.000278
360,5.998000,5.924000,0.740500,4.387000,74.050000,56.400000,0.074000,4.386722,8.000000,0.100000,0.000278
365,5.998000,5.924000,0.740400,4.386000,74.040000,56.500000,0.074000,4.386130,8.001080,0.100000,-0.000130
370,5.997000,5.923000,0.740400,4.386000,74.040000,56.600000,0.074000,4.385389,7.999730,0.100000,0.000611
375,5.997000,5.923000,0.740400,4.385000,74.040000,56.700000,0.074000,4.385389,7.999730,0.100000,-0.000389
380,5.997000,5.923000,0.740300,4.385000,74.030000,56.900000,0.074000,4.384797,8.000810,0.100000,0.000203
385,5.997000,5.923000,0.740300,4.385000,74.030000,57.000000,0.074000,4.384797,8.000810,0.100000,0.000203
390,5.996000,5.922000,0.740300,4.384000,74.030000,57.100000,0.074000,4.384057,7.999460,0.100000,-0.000057
395,5.996000,5.922000,0.740300,4.384000,74.030000,57.200000,0.074000,4.384057,7.999460,0.100000,-0.000057
400,5.996000,5.922000,0.740300,4.384000,74.030000,57.300000,0.074000,4.384057,7.999460,0.100000,-0.000057
405,5.996000,5.922000,0.740300,4.384000,74.030000,57.400000,0.074000,4.384057,7.999460,0.100000,-0.000057
410,5.996000,5.922000,0.740300,4.384000,74.030000,57.500000,0.074000,4.384057,7.999460,0.100000,-0.000057
415,5.996000,5.922000,0.740300,4.384000,74.030000,57.500000,0.074000,4.384057,7.999460,0.100000,-0.000057
420,5.996000,5.922000,0.740300,4.384000,74.030000,57.600000,0.074000,4.384057,7.999460,0.100000,-0.000057
425,5.996000,5.922000,0.740300,4.384000,74.030000,57.700000,0.074000,4.384057,7.999460,0.100000,-0.000057
430,5.997000,5.923000,0.740300,4.385000,74.030000,57.800000,0.074000,4.384797,8.000810,0.100000,0.000203
435,5.997000,5.923000,0.740300,4.385000,74.030000,57.900000,0.074000,4.384797,8.000810,0.100000,0.000203
440,5.997000,5.923000,0.740400,4.385000,74.040000,58.000000,0.074000,4.385389,7.999730,0.100000,-0.000389
445,5.997000,5.923000,0.740400,4.386000,74.040000,58.000000,0.074000,4.385389,7.999730,0.100000,0.000611
450,5.998000,5.924000,0.740400,4.386000,74.040000,58.100000,0.074000,4.386130,8.001080,0.100000,-0.000130
455,5.998000,5.924000,0.740500,4.387000,74.050000,58.200000,0.074000,4.386722,8.000000,0.100000,0.000278
460,5.998000,5.924000,0.740500,4.387000,74.050000,58.300000,0.074000,4.386722,8.000000,0.100000,0.000278
465,5.999000,5.925000,0.740600,4.388000,74.060000,58.300000,0.074000,4.388055,8.000270,0.100000,-0.000055
470,5.999000,5.925000,0.740600,4.388000,74.060000,58.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
475,5.999000,5.925000,0.740600,4.388000,74.060000,58.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
480,6.000000,5.926000,0.740700,4.389000,74.070000,58.500000,0.074000,4.389388,8.000540,0.100000,-0.000388
485,6.000000,5.926000,0.740700,4.389000,74.070000,58.600000,0.074000,4.389388,8.000540,0.100000,-0.000388
490,6.000000,5.926000,0.740800,4.390000,74.080000,58.600000,0.074000,4.389981,7.999460,0.100000,0.000019
495,6.000000,5.926000,0.740800,4.390000,74.080000,58.700000,0.074000,4.389981,7.999460,0.100000,0.000019
500,6.001000,5.927000,0.740800,4.390000,74.080000,58.700000,0.074000,4.390722,8.000810,0.100000,-0.000722
505,6.001000,5.927000,0.740800,4.391000,74.080000,58.800000,0.074000,4.390722,8.000810,0.100000,0.000278
510,6.001000,5.927000,0.740900,4.391000,74.090000,58.800000,0.074000,4.391314,7.999730,0.100000,-0.000314
515,6.001000,5.927000,0.740900,4.391000,74.090000,58.900000,0.074000,4.391314,7.999730,0.100000,-0.000314
520,6.001000,5.927000,0.740900,4.391000,74.090000,58.900000,0.074000,4.391314,7.999730,0.100000,-0.000314
525,6.001000,5.927000,0.740900,4.391000,74.090000,59.000000,0.074000,4.391314,7.999730,0.100000,-0.000314
530,6.001000,5.927000,0.740900,4.391000,74.090000,59.000000,0.074000,4.391314,7.999730,0.100000,-0.000314
535,6.001000,5.927000,0.740900,4.391000,74.090000,59.100000,0.074000,4.391314,7.999730,0.100000,-0.000314
540,6.001000,5.927000,0.740800,4.391000,74.080000,59.100000,0.074000,4.390722,8.000810,0.100000,0.000278
545,6.001000,5.927000,0.740800,4.390000,74.080000,59.200000,0.074000,4.390722,8.000810,0.100000,-0.000722
550,6.000000,5.926000,0.740800,4.390000,74.080000,59.200000,0.074000,4.389981,7.999460,0.100000,0.000019
555,6.000000,5.926000,0.740800,4.390000,74.080000,59.200000,0.074000,4.389981,7.999460,0.100000,0.000019
560,6.000000,5.926000,0.740700,4.389000,74.070000,59.300000,0.074000,4.389388,8.000540,0.100000,-0.000388
565,6.000000,5.926000,0.740700,4.389000,74.070000,59.300000,0.074000,4.389388,8.000540,0.100000,-0.000388
570,5.999000,5.925000,0.740700,4.389000,74.070000,59.300000,0.074000,4.388648,7.999190,0.100000,0.000352
575,5.999000,5.925000,0.740600,4.388000,74.060000,59.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
580,5.999000,5.925000,0.740600,4.388000,74.060000,59.400000,0.074000,4.388055,8.000270,0.100000,-0.000055
585,5.998000,5.924000,0.740500,4.387000,74.050000,59.400000,0.074000,4.386722,8.000000,0.100000,0.000278
590,5.998000,5.924000,0.740500,4.387000,74.050000,59.500000,0.074000,4.386722,8.000000,0.100000,0.000278
595,5.998000,5.924000,0.740400,4.386000,74.040000,59.500000,0.074000,4.386130,8.001080,0.100000,-0.000130
600,5.997000,5.923000,0.740400,4.386000,74.040000,59.500000,0.074000,4.385389,7.999730,0.100000,0.000611
